campaignId,Campaign,placementId,Placement,creativeId,Creative,advertiserId,Advertiser,Site,Impressions,Clicks,Media Cost,Effective CPM,Total Conversions,Revenue,Date,platform
66000001,Holiday Retargeting - Promo Push Publisher Site,77000001,Newsletter Publisher Site,88000001,Tracking Creative 0,445566,Northstar Retail,Publisher Site,719052,30975,6320.48,8.79,2090,218293.56,2024-11-01,cm360
66000001,New Arrivals Lapsed Customers - Top Sellers Programmatic Site,77000002,ROS Programmatic Site,88000002,Display Creative 1,445566,Northstar Retail,Programmatic Site,863594,52937,41130.36,47.63,2399,161470.57,2024-11-02,cm360
66000001,Cyber Week Cart Abandoners - Top Sellers Publisher Site,77000003,Article Publisher Site,88000003,Display Creative 2,445566,Northstar Retail,Publisher Site,119689,8195,5980.98,49.97,584,52727.01,2024-11-03,cm360
66000001,Cyber Week Lapsed Customers - Gift Guide Publisher Site,77000004,Homepage Publisher Site,88000004,Video Creative 3,445566,Northstar Retail,Publisher Site,667065,25271,6422.18,9.63,1058,49173.23,2024-11-04,cm360
66000001,Cyber Week Lapsed Customers - Broad Programmatic Site,77000005,Article Programmatic Site,88000005,HTML5 Creative 4,445566,Northstar Retail,Programmatic Site,286792,1014,4205.59,14.66,17,1268.29,2024-11-05,cm360
66000001,Evergreen High Intent - Top Sellers Publisher Site,77000006,Homepage Publisher Site,88000006,Tracking Creative 5,445566,Northstar Retail,Publisher Site,394074,12759,11218.11,28.47,966,89816.90,2024-11-06,cm360
66000001,Black Friday High Intent - Top Sellers CTV App,77000007,Article CTV App,88000007,Video Creative 6,445566,Northstar Retail,CTV App,949803,40893,37519.74,39.50,1559,62645.82,2024-11-07,cm360
66000001,Black Friday Lookalike - Broad Mobile App,77000008,Homepage Mobile App,88000008,Display Creative 7,445566,Northstar Retail,Mobile App,749870,26163,25733.98,34.32,1330,136958.04,2024-11-08,cm360
66000001,New Arrivals Prospecting - Gift Guide CTV App,77000009,Article CTV App,88000009,Tracking Creative 0,445566,Northstar Retail,CTV App,480743,10150,23463.26,48.81,86,5014.74,2024-11-09,cm360
66000001,Evergreen Lapsed Customers - Promo Push Publisher Site,77000010,Newsletter Publisher Site,88000010,Tracking Creative 1,445566,Northstar Retail,Publisher Site,638355,20957,17635.44,27.63,692,60255.41,2024-11-10,cm360
