Insertion Order ID,Insertion Order,Line Item ID,Line Item,Creative ID,Creative,Inventory Type,Advertiser ID,Advertiser,Impressions,Clicks,Media Cost (Advertiser Currency),CTR,CPM,CPC,Total Conversions,Date,Currency,platform
78000001,Evergreen Lapsed Customers - Value Props Connected TV,88000001,Contextual Connected TV,99000001,Connected TV 15s,Connected TV,556677,Northstar Retail,706428,34619,5501.01,4.90,7.79,0.16,1359,2024-11-01,USD,dv360
78000001,Black Friday Lapsed Customers - Broad Native,88000002,Contextual Native,99000002,Native 300x250,Native,556677,Northstar Retail,316473,19980,5661.72,6.31,17.89,0.28,1306,2024-11-02,USD,dv360
78000001,Black Friday Lapsed Customers - Value Props Display,88000003,Private Marketplace Display,99000003,Display Native,Display,556677,Northstar Retail,271829,17767,4915.50,6.54,18.08,0.28,1050,2024-11-03,USD,dv360
78000001,Loyalty Cart Abandoners - Top Sellers Audio,88000004,Remarketing Audio,99000004,Audio 30s,Audio,556677,Northstar Retail,409057,21963,20087.15,5.37,49.11,0.91,1250,2024-11-04,USD,dv360
78000001,Holiday Cart Abandoners - Promo Push Connected TV,88000005,Prospecting Connected TV,99000005,Connected TV 15s,Connected TV,556677,Northstar Retail,136156,4510,2481.51,3.31,18.23,0.55,200,2024-11-05,USD,dv360
78000001,New Arrivals Prospecting - Top Sellers Native,88000006,Prospecting Native,99000006,Native 728x90,Native,556677,Northstar Retail,584471,40407,14945.11,6.91,25.57,0.37,1127,2024-11-06,USD,dv360
78000001,Cyber Week High Intent - Value Props Connected TV,88000007,Private Marketplace Connected TV,99000007,Connected TV 30s,Connected TV,556677,Northstar Retail,272682,9313,12211.98,3.42,44.78,1.31,561,2024-11-07,USD,dv360
78000001,Holiday Prospecting - Broad Native,88000008,Prospecting Native,99000008,Native 15s,Native,556677,Northstar Retail,70068,3123,2952.30,4.46,42.13,0.95,241,2024-11-08,USD,dv360
78000001,Cyber Week Cart Abandoners - Core Terms Audio,88000009,Remarketing Audio,99000009,Audio 300x250,Audio,556677,Northstar Retail,802967,43804,34258.18,5.46,42.66,0.78,1463,2024-11-09,USD,dv360
78000001,Black Friday Cart Abandoners - Broad Connected TV,88000010,Prospecting Connected TV,99000010,Connected TV Native,Connected TV,556677,Northstar Retail,72775,3054,2155.24,4.20,29.62,0.71,204,2024-11-10,USD,dv360
78000001,Loyalty Retargeting - Core Terms Connected TV,88000011,Private Marketplace Connected TV,99000011,Connected TV 300x250,Connected TV,556677,Northstar Retail,474484,2856,16786.68,0.60,35.38,5.88,176,2024-11-11,USD,dv360
78000001,Cyber Week Prospecting - Core Terms Native,88000012,Contextual Native,99000012,Native 30s,Native,556677,Northstar Retail,797878,14541,42191.19,1.82,52.88,2.90,803,2024-11-12,USD,dv360
78000001,Holiday Lookalike - Value Props Audio,88000013,Remarketing Audio,99000013,Audio 30s,Audio,556677,Northstar Retail,36261,606,1904.45,1.67,52.52,3.14,47,2024-11-13,USD,dv360
78000001,Loyalty Retargeting - Value Props Video,88000014,Prospecting Video,99000014,Video 300x250,Video,556677,Northstar Retail,146078,5303,6191.23,3.63,42.38,1.17,367,2024-11-14,USD,dv360
78000001,Loyalty High Intent - Core Terms Audio,88000015,Remarketing Audio,99000015,Audio 15s,Audio,556677,Northstar Retail,377950,13447,9704.88,3.56,25.68,0.72,352,2024-11-15,USD,dv360
78000001,Black Friday Retargeting - Top Sellers Display,88000016,Prospecting Display,99000016,Display 300x250,Display,556677,Northstar Retail,401754,13831,20607.84,3.44,51.29,1.49,417,2024-11-16,USD,dv360
78000002,Evergreen Prospecting - Promo Push Native,88000017,Contextual Native,99000017,Native 15s,Native,556677,Northstar Retail,369620,1769,20004.91,0.48,54.12,11.31,77,2024-11-17,USD,dv360
78000002,New Arrivals Lapsed Customers - Core Terms Display,88000018,Remarketing Display,99000018,Display 15s,Display,556677,Northstar Retail,936613,2696,31895.16,0.29,34.05,11.83,194,2024-11-18,USD,dv360
78000002,Holiday Prospecting - Top Sellers Connected TV,88000019,Prospecting Connected TV,99000019,Connected TV 15s,Connected TV,556677,Northstar Retail,350101,20453,15873.69,5.84,45.34,0.78,593,2024-11-19,USD,dv360
78000002,Evergreen High Intent - Broad Video,88000020,Prospecting Video,99000020,Video Native,Video,556677,Northstar Retail,655134,50749,5284.22,7.75,8.07,0.10,778,2024-11-20,USD,dv360
78000002,Holiday High Intent - Broad Connected TV,88000021,Private Marketplace Connected TV,99000021,Connected TV 15s,Connected TV,556677,Northstar Retail,354078,13910,10884.54,3.93,30.74,0.78,899,2024-11-21,USD,dv360
78000002,Evergreen Lookalike - Core Terms Connected TV,88000022,Remarketing Connected TV,99000022,Connected TV 728x90,Connected TV,556677,Northstar Retail,537185,29846,17986.79,5.56,33.48,0.60,1456,2024-11-22,USD,dv360
78000002,Cyber Week Prospecting - Gift Guide Audio,88000023,Remarketing Audio,99000023,Audio 15s,Audio,556677,Northstar Retail,832295,27343,38986.34,3.29,46.84,1.43,1081,2024-11-23,USD,dv360
78000002,New Arrivals High Intent - Top Sellers Video,88000024,Contextual Video,99000024,Video 30s,Video,556677,Northstar Retail,572161,40278,8430.95,7.04,14.74,0.21,1026,2024-11-24,USD,dv360
