campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,account_id,account_name,publisher_platform,platform_position,impressions,clicks,inline_link_clicks,spend,ctr,inline_link_click_ctr,cpm,cpc,purchases,date_start,platform
meta_cmp_0001,Holiday Lapsed Customers - Top Sellers instagram_stories,meta_adset_00001,Lookalike 2pct,meta_ad_00001,Static 0,act_2345678901,Northstar Retail,instagram,instagram_stories,510500,24560,20139,18034.72,4.81,3.94,35.33,0.73,1659,11/01/2024,meta
meta_cmp_0001,Holiday Retargeting - Core Terms instagram_reels,meta_adset_00002,Purchasers 180d,meta_ad_00002,UGC Video 1,act_2345678901,Northstar Retail,instagram,instagram_reels,463840,30504,25013,12597.35,6.58,5.39,27.16,0.41,1675,11/02/2024,meta
meta_cmp_0001,New Arrivals Cart Abandoners - Value Props instagram_reels,meta_adset_00003,Lookalike 2pct,meta_ad_00003,Carousel 2,act_2345678901,Northstar Retail,instagram,instagram_reels,367461,16972,13917,4820.76,4.62,3.79,13.12,0.28,845,11/03/2024,meta
meta_cmp_0001,Loyalty Retargeting - Broad audience_network,meta_adset_00004,Lookalike 2pct,meta_ad_00004,UGC Video 3,act_2345678901,Northstar Retail,audience,audience_network,311966,15359,12594,5952.50,4.92,4.04,19.08,0.39,183,11/04/2024,meta
meta_cmp_0001,Loyalty High Intent - Gift Guide instagram_stories,meta_adset_00005,Purchasers 180d,meta_ad_00005,Static 4,act_2345678901,Northstar Retail,instagram,instagram_stories,339645,14947,12257,11778.97,4.40,3.61,34.68,0.79,1004,11/05/2024,meta
meta_cmp_0001,Black Friday High Intent - Broad facebook_feed,meta_adset_00006,Site Visitors 30d,meta_ad_00006,Carousel 5,act_2345678901,Northstar Retail,facebook,facebook_feed,86733,5690,4666,2677.31,6.56,5.38,30.87,0.47,255,11/06/2024,meta
meta_cmp_0001,New Arrivals Lookalike - Broad instagram_stories,meta_adset_00007,Site Visitors 30d,meta_ad_00007,Static 0,act_2345678901,Northstar Retail,instagram,instagram_stories,57170,2049,1680,2142.16,3.58,2.94,37.47,1.05,158,11/07/2024,meta
meta_cmp_0001,Loyalty Prospecting - Broad instagram_stories,meta_adset_00008,Broad 18-44,meta_ad_00008,Static 1,act_2345678901,Northstar Retail,instagram,instagram_stories,407168,24210,19852,8720.87,5.95,4.88,21.42,0.36,1134,11/08/2024,meta
meta_cmp_0001,Loyalty Lapsed Customers - Gift Guide instagram_stories,meta_adset_00009,Lookalike 2pct,meta_ad_00009,Static 2,act_2345678901,Northstar Retail,instagram,instagram_stories,598099,7124,5842,14785.29,1.19,0.98,24.72,2.08,245,11/09/2024,meta
meta_cmp_0001,Loyalty Retargeting - Gift Guide audience_network,meta_adset_00010,Broad 18-44,meta_ad_00010,UGC Video 3,act_2345678901,Northstar Retail,audience,audience_network,563993,19804,16239,12282.16,3.51,2.88,21.78,0.62,872,11/10/2024,meta
meta_cmp_0001,Black Friday Lapsed Customers - Promo Push facebook_feed,meta_adset_00011,Lookalike 2pct,meta_ad_00011,Static 4,act_2345678901,Northstar Retail,facebook,facebook_feed,89577,5230,4289,2968.30,5.84,4.79,33.14,0.57,230,11/11/2024,meta
meta_cmp_0001,Black Friday Lapsed Customers - Promo Push audience_network,meta_adset_00012,Site Visitors 30d,meta_ad_00012,Collection 5,act_2345678901,Northstar Retail,audience,audience_network,574308,27441,22502,19821.08,4.78,3.92,34.51,0.72,1155,11/12/2024,meta
meta_cmp_0002,Loyalty Lookalike - Value Props instagram_stories,meta_adset_00013,Broad 18-44,meta_ad_00013,UGC Video 0,act_2345678901,Northstar Retail,instagram,instagram_stories,141295,1810,1484,5376.63,1.28,1.05,38.05,2.97,138,11/13/2024,meta
meta_cmp_0002,Evergreen High Intent - Core Terms instagram_stories,meta_adset_00014,Broad 18-44,meta_ad_00014,UGC Video 1,act_2345678901,Northstar Retail,instagram,instagram_stories,81694,1961,1608,3175.66,2.40,1.97,38.87,1.62,83,11/14/2024,meta
meta_cmp_0002,Cyber Week Prospecting - Gift Guide facebook_feed,meta_adset_00015,Purchasers 180d,meta_ad_00015,Carousel 2,act_2345678901,Northstar Retail,facebook,facebook_feed,532926,16558,13578,8362.30,3.11,2.55,15.69,0.51,1079,11/15/2024,meta
meta_cmp_0002,New Arrivals Prospecting - Value Props audience_network,meta_adset_00016,Lookalike 2pct,meta_ad_00016,Static 3,act_2345678901,Northstar Retail,audience,audience_network,547271,30111,24691,20345.33,5.50,4.51,37.18,0.68,243,11/16/2024,meta
meta_cmp_0002,Loyalty Cart Abandoners - Broad facebook_feed,meta_adset_00017,Purchasers 180d,meta_ad_00017,Static 4,act_2345678901,Northstar Retail,facebook,facebook_feed,94266,7288,5976,3432.67,7.73,6.34,36.41,0.47,417,11/17/2024,meta
meta_cmp_0002,Holiday Lookalike - Core Terms facebook_feed,meta_adset_00018,Site Visitors 30d,meta_ad_00018,Collection 5,act_2345678901,Northstar Retail,facebook,facebook_feed,572341,18383,15074,15471.28,3.21,2.63,27.03,0.84,833,11/18/2024,meta
meta_cmp_0002,Loyalty Retargeting - Gift Guide instagram_reels,meta_adset_00019,Broad 18-44,meta_ad_00019,Carousel 0,act_2345678901,Northstar Retail,instagram,instagram_reels,693880,23270,19081,16119.89,3.35,2.75,23.23,0.69,1145,11/19/2024,meta
meta_cmp_0002,Holiday Prospecting - Value Props facebook_feed,meta_adset_00020,Purchasers 180d,meta_ad_00020,UGC Video 1,act_2345678901,Northstar Retail,facebook,facebook_feed,654560,17209,14111,22253.34,2.63,2.16,34.00,1.29,913,11/20/2024,meta
meta_cmp_0002,Cyber Week Prospecting - Broad facebook_feed,meta_adset_00021,Site Visitors 30d,meta_ad_00021,UGC Video 2,act_2345678901,Northstar Retail,facebook,facebook_feed,778762,13241,10858,29078.84,1.70,1.39,37.34,2.20,871,11/21/2024,meta
meta_cmp_0002,Black Friday High Intent - Top Sellers instagram_stories,meta_adset_00022,Purchasers 180d,meta_ad_00022,Static 3,act_2345678901,Northstar Retail,instagram,instagram_stories,216727,2377,1949,5082.45,1.10,0.90,23.45,2.14,35,11/22/2024,meta
meta_cmp_0002,Holiday Lapsed Customers - Broad audience_network,meta_adset_00023,Lookalike 2pct,meta_ad_00023,UGC Video 4,act_2345678901,Northstar Retail,audience,audience_network,675731,21137,17332,29507.40,3.13,2.56,43.67,1.40,504,11/23/2024,meta
meta_cmp_0002,Black Friday High Intent - Core Terms instagram_stories,meta_adset_00024,Lookalike 2pct,meta_ad_00024,Carousel 5,act_2345678901,Northstar Retail,instagram,instagram_stories,918143,61912,50768,29333.69,6.74,5.53,31.95,0.47,4292,11/24/2024,meta
meta_cmp_0003,New Arrivals Lookalike - Gift Guide audience_network,meta_adset_00025,Broad 18-44,meta_ad_00025,UGC Video 0,act_2345678901,Northstar Retail,audience,audience_network,144860,9869,8093,4298.52,6.81,5.59,29.67,0.44,719,11/25/2024,meta
meta_cmp_0003,Black Friday Retargeting - Promo Push facebook_feed,meta_adset_00026,Purchasers 180d,meta_ad_00026,Carousel 1,act_2345678901,Northstar Retail,facebook,facebook_feed,190478,1830,1501,2141.33,0.96,0.79,11.24,1.17,135,11/26/2024,meta
meta_cmp_0003,Holiday Lookalike - Broad facebook_feed,meta_adset_00027,Lookalike 2pct,meta_ad_00027,UGC Video 2,act_2345678901,Northstar Retail,facebook,facebook_feed,796697,18216,14937,7986.78,2.29,1.87,10.02,0.44,709,11/27/2024,meta
meta_cmp_0003,Black Friday Retargeting - Top Sellers audience_network,meta_adset_00028,Purchasers 180d,meta_ad_00028,Carousel 3,act_2345678901,Northstar Retail,audience,audience_network,556351,20624,16912,30412.70,3.71,3.04,54.66,1.47,668,11/28/2024,meta
meta_cmp_0003,Black Friday Prospecting - Broad audience_network,meta_adset_00029,Lookalike 2pct,meta_ad_00029,Collection 4,act_2345678901,Northstar Retail,audience,audience_network,297090,11318,9281,7882.57,3.81,3.12,26.53,0.70,191,11/29/2024,meta
meta_cmp_0003,Black Friday High Intent - Gift Guide instagram_stories,meta_adset_00030,Lookalike 2pct,meta_ad_00030,UGC Video 5,act_2345678901,Northstar Retail,instagram,instagram_stories,164330,3036,2490,4557.49,1.85,1.52,27.73,1.50,191,11/30/2024,meta
meta_cmp_0003,Black Friday High Intent - Broad audience_network,meta_adset_00031,Purchasers 180d,meta_ad_00031,Carousel 0,act_2345678901,Northstar Retail,audience,audience_network,877263,23840,19549,36057.92,2.72,2.23,41.10,1.51,332,11/01/2024,meta
meta_cmp_0003,Black Friday High Intent - Promo Push audience_network,meta_adset_00032,Site Visitors 30d,meta_ad_00032,Collection 1,act_2345678901,Northstar Retail,audience,audience_network,867610,10867,8911,43428.68,1.25,1.03,50.06,4.00,379,11/02/2024,meta
meta_cmp_0003,Cyber Week Prospecting - Gift Guide instagram_reels,meta_adset_00033,Site Visitors 30d,meta_ad_00033,Collection 2,act_2345678901,Northstar Retail,instagram,instagram_reels,225181,5975,4900,9302.82,2.65,2.18,41.31,1.56,342,11/03/2024,meta
meta_cmp_0003,Evergreen Prospecting - Promo Push audience_network,meta_adset_00034,Broad 18-44,meta_ad_00034,Carousel 3,act_2345678901,Northstar Retail,audience,audience_network,416909,30721,25191,17747.90,7.37,6.04,42.57,0.58,509,11/04/2024,meta
meta_cmp_0003,Black Friday Cart Abandoners - Top Sellers instagram_reels,meta_adset_00035,Site Visitors 30d,meta_ad_00035,Collection 4,act_2345678901,Northstar Retail,instagram,instagram_reels,622834,15199,12463,14017.30,2.44,2.00,22.51,0.92,883,11/05/2024,meta
meta_cmp_0003,Black Friday Lookalike - Value Props audience_network,meta_adset_00036,Site Visitors 30d,meta_ad_00036,Collection 5,act_2345678901,Northstar Retail,audience,audience_network,527387,16846,13814,10966.29,3.19,2.62,20.79,0.65,1196,11/06/2024,meta
meta_cmp_0004,Loyalty Lookalike - Broad instagram_stories,meta_adset_00037,Purchasers 180d,meta_ad_00037,Static 0,act_2345678901,Northstar Retail,instagram,instagram_stories,192718,10166,8336,3937.89,5.28,4.33,20.43,0.39,295,11/07/2024,meta
meta_cmp_0004,Loyalty Lookalike - Promo Push instagram_stories,meta_adset_00038,Broad 18-44,meta_ad_00038,UGC Video 1,act_2345678901,Northstar Retail,instagram,instagram_stories,434371,7611,6241,4372.79,1.75,1.44,10.07,0.57,92,11/08/2024,meta
meta_cmp_0004,Cyber Week High Intent - Top Sellers instagram_reels,meta_adset_00039,Broad 18-44,meta_ad_00039,UGC Video 2,act_2345678901,Northstar Retail,instagram,instagram_reels,338957,16331,13391,2484.68,4.82,3.95,7.33,0.15,553,11/09/2024,meta
meta_cmp_0004,Loyalty Prospecting - Broad audience_network,meta_adset_00040,Purchasers 180d,meta_ad_00040,UGC Video 3,act_2345678901,Northstar Retail,audience,audience_network,600082,8891,7291,6767.38,1.48,1.21,11.28,0.76,152,11/10/2024,meta
meta_cmp_0004,Evergreen High Intent - Gift Guide facebook_feed,meta_adset_00041,Purchasers 180d,meta_ad_00041,Carousel 4,act_2345678901,Northstar Retail,facebook,facebook_feed,797161,46649,38252,6397.30,5.85,4.80,8.03,0.14,1583,11/11/2024,meta
meta_cmp_0004,Loyalty Cart Abandoners - Core Terms facebook_feed,meta_adset_00042,Broad 18-44,meta_ad_00042,Carousel 5,act_2345678901,Northstar Retail,facebook,facebook_feed,56127,267,219,1410.78,0.48,0.39,25.14,5.28,12,11/12/2024,meta
meta_cmp_0004,Cyber Week Lookalike - Promo Push instagram_reels,meta_adset_00043,Site Visitors 30d,meta_ad_00043,Collection 0,act_2345678901,Northstar Retail,instagram,instagram_reels,120548,1711,1403,1032.36,1.42,1.16,8.56,0.60,63,11/13/2024,meta
meta_cmp_0004,Cyber Week Lookalike - Gift Guide instagram_reels,meta_adset_00044,Purchasers 180d,meta_ad_00044,Collection 1,act_2345678901,Northstar Retail,instagram,instagram_reels,305792,14993,12294,11726.88,4.90,4.02,38.35,0.78,817,11/14/2024,meta
meta_cmp_0004,Holiday Lapsed Customers - Core Terms instagram_reels,meta_adset_00045,Lookalike 2pct,meta_ad_00045,Carousel 2,act_2345678901,Northstar Retail,instagram,instagram_reels,917981,23393,19182,34409.00,2.55,2.09,37.48,1.47,294,11/15/2024,meta
meta_cmp_0004,Evergreen Prospecting - Promo Push audience_network,meta_adset_00046,Site Visitors 30d,meta_ad_00046,Static 3,act_2345678901,Northstar Retail,audience,audience_network,697108,12019,9856,37053.07,1.72,1.41,53.15,3.08,444,11/16/2024,meta
meta_cmp_0004,New Arrivals Lapsed Customers - Gift Guide facebook_feed,meta_adset_00047,Broad 18-44,meta_ad_00047,Carousel 4,act_2345678901,Northstar Retail,facebook,facebook_feed,495985,33107,27148,24485.71,6.67,5.47,49.37,0.74,614,11/17/2024,meta
meta_cmp_0004,Black Friday Lookalike - Core Terms instagram_reels,meta_adset_00048,Purchasers 180d,meta_ad_00048,Collection 5,act_2345678901,Northstar Retail,instagram,instagram_reels,104589,486,399,2048.13,0.46,0.38,19.58,4.21,6,11/18/2024,meta
meta_cmp_0005,Holiday High Intent - Core Terms instagram_stories,meta_adset_00049,Lookalike 2pct,meta_ad_00049,Carousel 0,act_2345678901,Northstar Retail,instagram,instagram_stories,599565,35638,29223,30996.04,5.94,4.87,51.70,0.87,764,11/19/2024,meta
meta_cmp_0005,Evergreen Retargeting - Broad facebook_feed,meta_adset_00050,Lookalike 2pct,meta_ad_00050,Collection 1,act_2345678901,Northstar Retail,facebook,facebook_feed,613912,13521,11087,9069.06,2.20,1.81,14.77,0.67,732,11/20/2024,meta
meta_cmp_0005,Cyber Week High Intent - Core Terms facebook_feed,meta_adset_00051,Broad 18-44,meta_ad_00051,UGC Video 2,act_2345678901,Northstar Retail,facebook,facebook_feed,68829,1841,1510,2192.81,2.67,2.19,31.86,1.19,57,11/21/2024,meta
meta_cmp_0005,Evergreen Cart Abandoners - Core Terms instagram_stories,meta_adset_00052,Site Visitors 30d,meta_ad_00052,Collection 3,act_2345678901,Northstar Retail,instagram,instagram_stories,407597,28310,23214,10479.37,6.95,5.70,25.71,0.37,1744,11/22/2024,meta
meta_cmp_0005,New Arrivals Prospecting - Value Props facebook_feed,meta_adset_00053,Lookalike 2pct,meta_ad_00053,Collection 4,act_2345678901,Northstar Retail,facebook,facebook_feed,823042,55641,45626,15870.86,6.76,5.54,19.28,0.29,448,11/23/2024,meta
meta_cmp_0005,Black Friday Prospecting - Core Terms instagram_stories,meta_adset_00054,Broad 18-44,meta_ad_00054,UGC Video 5,act_2345678901,Northstar Retail,instagram,instagram_stories,643613,26971,22116,11002.30,4.19,3.44,17.09,0.41,1975,11/24/2024,meta
