Insertion Order ID,Insertion Order,Line Item ID,Line Item,Audience Segment ID,Audience Segment,Inventory Type,Advertiser,Impressions,Clicks,Media Cost (Advertiser Currency),CTR,CPM,CPC,Total Conversions,Date,platform
78000001,Holiday Prospecting - Top Sellers Display,88000001,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,19378,374,817.93,1.93,42.21,2.19,18,2024-11-01,dv360
78000001,Loyalty Cart Abandoners - Gift Guide Display,88000001,Display Audience Activation,aud_1002,Affinity - Fashionistas,Display,Northstar Retail,17376,66,927.83,0.38,53.40,14.06,3,2024-11-02,dv360
78000001,Evergreen Retargeting - Broad Video,88000002,Video Audience Activation,aud_1003,Custom Intent - Holiday Deals,Video,Northstar Retail,874660,13359,12633.06,1.53,14.44,0.95,779,2024-11-03,dv360
78000001,Evergreen Prospecting - Core Terms Video,88000002,Video Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Video,Northstar Retail,273135,9663,9735.89,3.54,35.64,1.01,201,2024-11-04,dv360
78000001,Black Friday High Intent - Top Sellers Video,88000003,Video Audience Activation,aud_1005,Similar Audience - Purchasers,Video,Northstar Retail,948278,50140,51246.97,5.29,54.04,1.02,3081,2024-11-05,dv360
78000001,Evergreen Lookalike - Promo Push Video,88000003,Video Audience Activation,aud_1006,Demographic - Parents,Video,Northstar Retail,487625,31258,14449.09,6.41,29.63,0.46,1087,2024-11-06,dv360
78000001,New Arrivals Lookalike - Promo Push Display,88000004,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,381022,6852,18086.96,1.80,47.47,2.64,502,2024-11-07,dv360
78000001,New Arrivals Retargeting - Core Terms Video,88000004,Video Audience Activation,aud_1002,Affinity - Fashionistas,Video,Northstar Retail,341747,11855,10027.84,3.47,29.34,0.85,851,2024-11-08,dv360
78000001,Holiday Lookalike - Value Props Display,88000005,Display Audience Activation,aud_1003,Custom Intent - Holiday Deals,Display,Northstar Retail,41390,2301,488.22,5.56,11.80,0.21,57,2024-11-09,dv360
78000001,Loyalty Prospecting - Top Sellers Connected TV,88000005,Connected TV Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Connected TV,Northstar Retail,868064,39571,29990.28,4.56,34.55,0.76,482,2024-11-10,dv360
78000001,Evergreen Lookalike - Gift Guide Display,88000006,Display Audience Activation,aud_1005,Similar Audience - Purchasers,Display,Northstar Retail,19049,227,967.43,1.19,50.79,4.26,3,2024-11-11,dv360
78000001,Holiday Retargeting - Gift Guide Display,88000006,Display Audience Activation,aud_1006,Demographic - Parents,Display,Northstar Retail,434364,18696,9079.53,4.30,20.90,0.49,161,2024-11-12,dv360
78000001,Evergreen Lapsed Customers - Value Props Video,88000007,Video Audience Activation,aud_1001,In-market - Apparel & Accessories,Video,Northstar Retail,409286,13843,9410.79,3.38,22.99,0.68,893,2024-11-13,dv360
78000001,Holiday Cart Abandoners - Core Terms Video,88000007,Video Audience Activation,aud_1002,Affinity - Fashionistas,Video,Northstar Retail,354080,15332,11057.29,4.33,31.23,0.72,130,2024-11-14,dv360
78000001,Black Friday Cart Abandoners - Promo Push Video,88000008,Video Audience Activation,aud_1003,Custom Intent - Holiday Deals,Video,Northstar Retail,300867,9839,15934.38,3.27,52.96,1.62,444,2024-11-15,dv360
78000001,Cyber Week Prospecting - Value Props Display,88000008,Display Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Display,Northstar Retail,277581,8293,3461.88,2.99,12.47,0.42,534,2024-11-16,dv360
78000001,Holiday High Intent - Core Terms Connected TV,88000009,Connected TV Audience Activation,aud_1005,Similar Audience - Purchasers,Connected TV,Northstar Retail,890658,21088,39577.56,2.37,44.44,1.88,834,2024-11-17,dv360
78000001,New Arrivals High Intent - Value Props Display,88000009,Display Audience Activation,aud_1006,Demographic - Parents,Display,Northstar Retail,33913,2242,1772.60,6.61,52.27,0.79,175,2024-11-18,dv360
78000001,New Arrivals Lapsed Customers - Gift Guide Connected TV,88000010,Connected TV Audience Activation,aud_1001,In-market - Apparel & Accessories,Connected TV,Northstar Retail,110303,1424,1960.30,1.29,17.77,1.38,23,2024-11-19,dv360
78000001,Black Friday High Intent - Value Props Display,88000010,Display Audience Activation,aud_1002,Affinity - Fashionistas,Display,Northstar Retail,273069,7031,14813.53,2.57,54.25,2.11,422,2024-11-20,dv360
78000002,Evergreen Prospecting - Top Sellers Connected TV,88000011,Connected TV Audience Activation,aud_1003,Custom Intent - Holiday Deals,Connected TV,Northstar Retail,39635,1051,1129.15,2.65,28.49,1.07,26,2024-11-21,dv360
78000002,Holiday Lapsed Customers - Core Terms Video,88000011,Video Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Video,Northstar Retail,703954,36764,10178.68,5.22,14.46,0.28,2013,2024-11-22,dv360
