Campaign ID,Campaign Name,Ad Group ID,Ad Group Name,Creative ID,Creative Name,Advertiser ID,Advertiser Name,Channel,Impressions,Clicks,Advertiser Cost (Adv Currency),CTR,CPM,CPC,Total Conversions,Date,platform
ttd_cmp_00001,Black Friday Lookalike - Top Sellers Online Video,ttd_ag_00001,Lookalike Online Video,ttd_cr_00001,Online Video Creative 0,998877,Northstar Retail,Online Video,164333,1435,7468.29,0.87,45.45,5.20,75,2024-11-01,ttd
ttd_cmp_00001,Holiday Lookalike - Top Sellers Native,ttd_ag_00002,Retargeting Native,ttd_cr_00002,Native Creative 1,998877,Northstar Retail,Native,273280,932,14683.08,0.34,53.73,15.75,62,2024-11-02,ttd
ttd_cmp_00001,New Arrivals Cart Abandoners - Gift Guide Audio,ttd_ag_00003,Behavioral Audio,ttd_cr_00003,Audio Creative 2,998877,Northstar Retail,Audio,496582,19780,11231.35,3.98,22.62,0.57,1456,2024-11-03,ttd
ttd_cmp_00001,Evergreen Lookalike - Broad Online Video,ttd_ag_00004,Retargeting Online Video,ttd_cr_00004,Online Video Creative 3,998877,Northstar Retail,Online Video,422476,20079,8409.22,4.75,19.90,0.42,430,2024-11-04,ttd
ttd_cmp_00001,Evergreen High Intent - Promo Push Online Video,ttd_ag_00005,Behavioral Online Video,ttd_cr_00005,Online Video Creative 4,998877,Northstar Retail,Online Video,375457,16993,9436.76,4.53,25.13,0.56,184,2024-11-05,ttd
ttd_cmp_00001,Evergreen Lapsed Customers - Value Props Online Video,ttd_ag_00006,Lookalike Online Video,ttd_cr_00006,Online Video Creative 5,998877,Northstar Retail,Online Video,476717,18120,20523.45,3.80,43.05,1.13,728,2024-11-06,ttd
ttd_cmp_00001,Loyalty Retargeting - Broad CTV,ttd_ag_00007,Contextual CTV,ttd_cr_00007,CTV Creative 6,998877,Northstar Retail,CTV,67858,4496,1178.82,6.63,17.37,0.26,101,2024-11-07,ttd
ttd_cmp_00001,Evergreen Lapsed Customers - Value Props CTV,ttd_ag_00008,Behavioral CTV,ttd_cr_00008,CTV Creative 7,998877,Northstar Retail,CTV,917942,69878,15255.92,7.61,16.62,0.22,4622,2024-11-08,ttd
ttd_cmp_00001,Holiday High Intent - Top Sellers Online Video,ttd_ag_00009,Lookalike Online Video,ttd_cr_00009,Online Video Creative 8,998877,Northstar Retail,Online Video,143712,9804,5251.89,6.82,36.54,0.54,429,2024-11-09,ttd
ttd_cmp_00001,Loyalty High Intent - Core Terms Display,ttd_ag_00010,Retargeting Display,ttd_cr_00010,Display Creative 9,998877,Northstar Retail,Display,192982,13255,3140.18,6.87,16.27,0.24,371,2024-11-10,ttd
ttd_cmp_00001,Black Friday High Intent - Top Sellers Native,ttd_ag_00011,Retargeting Native,ttd_cr_00011,Native Creative 0,998877,Northstar Retail,Native,304541,2990,11575.30,0.98,38.01,3.87,221,2024-11-11,ttd
ttd_cmp_00001,Holiday Lookalike - Core Terms Display,ttd_ag_00012,Retargeting Display,ttd_cr_00012,Display Creative 1,998877,Northstar Retail,Display,671934,10211,23502.55,1.52,34.98,2.30,653,2024-11-12,ttd
ttd_cmp_00001,Loyalty Retargeting - Gift Guide CTV,ttd_ag_00013,Contextual CTV,ttd_cr_00013,CTV Creative 2,998877,Northstar Retail,CTV,123852,2964,3601.45,2.39,29.08,1.22,190,2024-11-13,ttd
ttd_cmp_00001,Cyber Week High Intent - Gift Guide Native,ttd_ag_00014,Retargeting Native,ttd_cr_00014,Native Creative 3,998877,Northstar Retail,Native,585038,36342,6964.73,6.21,11.90,0.19,1745,2024-11-14,ttd
ttd_cmp_00002,New Arrivals Prospecting - Value Props Native,ttd_ag_00015,Retargeting Native,ttd_cr_00015,Native Creative 4,998877,Northstar Retail,Native,162026,12502,1800.20,7.72,11.11,0.14,462,2024-11-15,ttd
ttd_cmp_00002,Black Friday Prospecting - Top Sellers Audio,ttd_ag_00016,Lookalike Audio,ttd_cr_00016,Audio Creative 5,998877,Northstar Retail,Audio,213253,12434,6411.07,5.83,30.06,0.52,534,2024-11-16,ttd
ttd_cmp_00002,New Arrivals High Intent - Promo Push Native,ttd_ag_00017,Lookalike Native,ttd_cr_00017,Native Creative 6,998877,Northstar Retail,Native,421815,16712,17780.17,3.96,42.15,1.06,694,2024-11-17,ttd
ttd_cmp_00002,Holiday High Intent - Value Props Native,ttd_ag_00018,Lookalike Native,ttd_cr_00018,Native Creative 7,998877,Northstar Retail,Native,683603,12731,28239.43,1.86,41.31,2.22,161,2024-11-18,ttd
ttd_cmp_00002,Holiday Cart Abandoners - Broad CTV,ttd_ag_00019,Retargeting CTV,ttd_cr_00019,CTV Creative 8,998877,Northstar Retail,CTV,589126,10608,31080.22,1.80,52.76,2.93,307,2024-11-19,ttd
ttd_cmp_00002,Loyalty Prospecting - Broad CTV,ttd_ag_00020,Contextual CTV,ttd_cr_00020,CTV Creative 9,998877,Northstar Retail,CTV,601216,17838,12630.91,2.97,21.01,0.71,1127,2024-11-20,ttd
ttd_cmp_00002,Evergreen Retargeting - Gift Guide Display,ttd_ag_00021,Lookalike Display,ttd_cr_00021,Display Creative 0,998877,Northstar Retail,Display,91716,6964,4214.14,7.59,45.95,0.61,326,2024-11-21,ttd
ttd_cmp_00002,Cyber Week Cart Abandoners - Value Props CTV,ttd_ag_00022,Lookalike CTV,ttd_cr_00022,CTV Creative 1,998877,Northstar Retail,CTV,936644,25656,44076.80,2.74,47.06,1.72,500,2024-11-22,ttd
ttd_cmp_00002,Loyalty Lapsed Customers - Core Terms CTV,ttd_ag_00023,Behavioral CTV,ttd_cr_00023,CTV Creative 2,998877,Northstar Retail,CTV,437979,23887,14145.25,5.45,32.30,0.59,1078,2024-11-23,ttd
ttd_cmp_00002,Holiday Lapsed Customers - Top Sellers CTV,ttd_ag_00024,Lookalike CTV,ttd_cr_00024,CTV Creative 3,998877,Northstar Retail,CTV,429929,27835,16193.42,6.47,37.67,0.58,1808,2024-11-24,ttd
ttd_cmp_00002,Black Friday High Intent - Core Terms Audio,ttd_ag_00025,Lookalike Audio,ttd_cr_00025,Audio Creative 4,998877,Northstar Retail,Audio,202327,2391,7892.38,1.18,39.01,3.30,115,2024-11-25,ttd
ttd_cmp_00002,Cyber Week Prospecting - Promo Push CTV,ttd_ag_00026,Retargeting CTV,ttd_cr_00026,CTV Creative 5,998877,Northstar Retail,CTV,357933,13147,16081.39,3.67,44.93,1.22,504,2024-11-26,ttd
ttd_cmp_00002,Holiday Retargeting - Promo Push Audio,ttd_ag_00027,Lookalike Audio,ttd_cr_00027,Audio Creative 6,998877,Northstar Retail,Audio,925431,45533,45764.91,4.92,49.45,1.01,417,2024-11-27,ttd
ttd_cmp_00002,Loyalty Retargeting - Gift Guide CTV,ttd_ag_00028,Behavioral CTV,ttd_cr_00028,CTV Creative 7,998877,Northstar Retail,CTV,837981,53345,14384.70,6.37,17.17,0.27,642,2024-11-28,ttd
ttd_cmp_00003,Black Friday Lookalike - Promo Push CTV,ttd_ag_00029,Retargeting CTV,ttd_cr_00029,CTV Creative 8,998877,Northstar Retail,CTV,783605,31021,15162.98,3.96,19.35,0.49,757,2024-11-29,ttd
ttd_cmp_00003,Cyber Week Lookalike - Broad Online Video,ttd_ag_00030,Behavioral Online Video,ttd_cr_00030,Online Video Creative 9,998877,Northstar Retail,Online Video,886578,40373,28103.55,4.55,31.70,0.70,1582,2024-11-30,ttd
ttd_cmp_00003,Cyber Week Lookalike - Gift Guide Native,ttd_ag_00031,Behavioral Native,ttd_cr_00031,Native Creative 0,998877,Northstar Retail,Native,810269,35659,26741.77,4.40,33.00,0.75,1635,2024-11-01,ttd
ttd_cmp_00003,Loyalty Retargeting - Broad Audio,ttd_ag_00032,Behavioral Audio,ttd_cr_00032,Audio Creative 1,998877,Northstar Retail,Audio,528205,22504,8976.34,4.26,16.99,0.40,1454,2024-11-02,ttd
ttd_cmp_00003,Black Friday Lapsed Customers - Promo Push Display,ttd_ag_00033,Retargeting Display,ttd_cr_00033,Display Creative 2,998877,Northstar Retail,Display,94890,6327,4239.52,6.67,44.68,0.67,275,2024-11-03,ttd
ttd_cmp_00003,Holiday Lapsed Customers - Core Terms Audio,ttd_ag_00034,Behavioral Audio,ttd_cr_00034,Audio Creative 3,998877,Northstar Retail,Audio,194604,11801,1677.01,6.06,8.62,0.14,841,2024-11-04,ttd
ttd_cmp_00003,Black Friday Lapsed Customers - Core Terms Native,ttd_ag_00035,Contextual Native,ttd_cr_00035,Native Creative 4,998877,Northstar Retail,Native,868172,55619,7562.64,6.41,8.71,0.14,2122,2024-11-05,ttd
ttd_cmp_00003,Loyalty High Intent - Top Sellers Online Video,ttd_ag_00036,Contextual Online Video,ttd_cr_00036,Online Video Creative 5,998877,Northstar Retail,Online Video,430743,7974,3924.15,1.85,9.11,0.49,603,2024-11-06,ttd
ttd_cmp_00003,Holiday Cart Abandoners - Top Sellers CTV,ttd_ag_00037,Lookalike CTV,ttd_cr_00037,CTV Creative 6,998877,Northstar Retail,CTV,651980,23453,7699.88,3.60,11.81,0.33,707,2024-11-07,ttd
ttd_cmp_00003,Loyalty Retargeting - Gift Guide Native,ttd_ag_00038,Behavioral Native,ttd_cr_00038,Native Creative 7,998877,Northstar Retail,Native,918353,28004,7436.37,3.05,8.10,0.27,1912,2024-11-08,ttd
ttd_cmp_00003,Evergreen High Intent - Broad Display,ttd_ag_00039,Contextual Display,ttd_cr_00039,Display Creative 8,998877,Northstar Retail,Display,56513,735,1291.02,1.30,22.84,1.76,53,2024-11-09,ttd
ttd_cmp_00003,Cyber Week High Intent - Gift Guide Online Video,ttd_ag_00040,Contextual Online Video,ttd_cr_00040,Online Video Creative 9,998877,Northstar Retail,Online Video,101962,961,5083.62,0.94,49.86,5.29,55,2024-11-10,ttd
ttd_cmp_00003,New Arrivals Retargeting - Broad Native,ttd_ag_00041,Lookalike Native,ttd_cr_00041,Native Creative 0,998877,Northstar Retail,Native,452117,18522,8966.84,4.10,19.83,0.48,1248,2024-11-11,ttd
ttd_cmp_00003,Evergreen High Intent - Gift Guide Online Video,ttd_ag_00042,Retargeting Online Video,ttd_cr_00042,Online Video Creative 1,998877,Northstar Retail,Online Video,643551,36725,11511.52,5.71,17.89,0.31,2462,2024-11-12,ttd
ttd_cmp_00004,Cyber Week Lapsed Customers - Broad Audio,ttd_ag_00043,Lookalike Audio,ttd_cr_00043,Audio Creative 2,998877,Northstar Retail,Audio,685884,37238,18348.98,5.43,26.75,0.49,2234,2024-11-13,ttd
ttd_cmp_00004,Evergreen Retargeting - Promo Push Native,ttd_ag_00044,Contextual Native,ttd_cr_00044,Native Creative 3,998877,Northstar Retail,Native,145695,10157,1447.22,6.97,9.93,0.14,779,2024-11-14,ttd
ttd_cmp_00004,Evergreen Retargeting - Value Props Audio,ttd_ag_00045,Contextual Audio,ttd_cr_00045,Audio Creative 4,998877,Northstar Retail,Audio,925382,33725,44555.84,3.64,48.15,1.32,736,2024-11-15,ttd
ttd_cmp_00004,Holiday Prospecting - Promo Push Display,ttd_ag_00046,Lookalike Display,ttd_cr_00046,Display Creative 5,998877,Northstar Retail,Display,55538,1616,2958.19,2.91,53.26,1.83,62,2024-11-16,ttd
ttd_cmp_00004,Black Friday Lookalike - Broad Display,ttd_ag_00047,Behavioral Display,ttd_cr_00047,Display Creative 6,998877,Northstar Retail,Display,498267,32648,13018.75,6.55,26.13,0.40,1425,2024-11-17,ttd
ttd_cmp_00004,Black Friday Cart Abandoners - Broad CTV,ttd_ag_00048,Behavioral CTV,ttd_cr_00048,CTV Creative 7,998877,Northstar Retail,CTV,924116,70802,15135.82,7.66,16.38,0.21,3011,2024-11-18,ttd
ttd_cmp_00004,Loyalty Lapsed Customers - Value Props Native,ttd_ag_00049,Lookalike Native,ttd_cr_00049,Native Creative 8,998877,Northstar Retail,Native,61605,2744,1377.03,4.45,22.35,0.50,155,2024-11-19,ttd
ttd_cmp_00004,Evergreen Lookalike - Gift Guide Online Video,ttd_ag_00050,Retargeting Online Video,ttd_cr_00050,Online Video Creative 9,998877,Northstar Retail,Online Video,298210,10373,11121.64,3.48,37.29,1.07,472,2024-11-20,ttd
ttd_cmp_00004,New Arrivals High Intent - Core Terms CTV,ttd_ag_00051,Behavioral CTV,ttd_cr_00051,CTV Creative 0,998877,Northstar Retail,CTV,178130,10137,1608.62,5.69,9.03,0.16,84,2024-11-21,ttd
ttd_cmp_00004,New Arrivals Retargeting - Value Props Display,ttd_ag_00052,Retargeting Display,ttd_cr_00052,Display Creative 1,998877,Northstar Retail,Display,746276,36454,39099.72,4.88,52.39,1.07,360,2024-11-22,ttd
ttd_cmp_00004,Black Friday Prospecting - Broad Audio,ttd_ag_00053,Retargeting Audio,ttd_cr_00053,Audio Creative 2,998877,Northstar Retail,Audio,149508,4017,3427.35,2.69,22.92,0.85,88,2024-11-23,ttd
ttd_cmp_00004,Evergreen Cart Abandoners - Broad CTV,ttd_ag_00054,Retargeting CTV,ttd_cr_00054,CTV Creative 3,998877,Northstar Retail,CTV,387687,27177,8813.73,7.01,22.73,0.32,1760,2024-11-24,ttd
ttd_cmp_00004,Holiday Cart Abandoners - Core Terms Audio,ttd_ag_00055,Contextual Audio,ttd_cr_00055,Audio Creative 4,998877,Northstar Retail,Audio,413405,9721,12663.40,2.35,30.63,1.30,126,2024-11-25,ttd
ttd_cmp_00004,Black Friday High Intent - Value Props Audio,ttd_ag_00056,Behavioral Audio,ttd_cr_00056,Audio Creative 5,998877,Northstar Retail,Audio,177563,813,1769.96,0.46,9.97,2.18,15,2024-11-26,ttd
ttd_cmp_00005,Black Friday Cart Abandoners - Top Sellers Online Video,ttd_ag_00057,Lookalike Online Video,ttd_cr_00057,Online Video Creative 6,998877,Northstar Retail,Online Video,214661,3860,1763.72,1.80,8.22,0.46,221,2024-11-27,ttd
ttd_cmp_00005,Black Friday High Intent - Gift Guide Audio,ttd_ag_00058,Retargeting Audio,ttd_cr_00058,Audio Creative 7,998877,Northstar Retail,Audio,187710,2715,10193.47,1.45,54.30,3.75,102,2024-11-28,ttd
ttd_cmp_00005,Loyalty Lookalike - Broad CTV,ttd_ag_00059,Behavioral CTV,ttd_cr_00059,CTV Creative 8,998877,Northstar Retail,CTV,273971,9282,12068.49,3.39,44.05,1.30,489,2024-11-29,ttd
ttd_cmp_00005,Evergreen Prospecting - Promo Push Online Video,ttd_ag_00060,Lookalike Online Video,ttd_cr_00060,Online Video Creative 9,998877,Northstar Retail,Online Video,712525,13389,25704.83,1.88,36.08,1.92,592,2024-11-30,ttd
ttd_cmp_00005,Loyalty Retargeting - Core Terms Online Video,ttd_ag_00061,Behavioral Online Video,ttd_cr_00061,Online Video Creative 0,998877,Northstar Retail,Online Video,145569,10717,2053.53,7.36,14.11,0.19,193,2024-11-01,ttd
ttd_cmp_00005,New Arrivals High Intent - Gift Guide CTV,ttd_ag_00062,Lookalike CTV,ttd_cr_00062,CTV Creative 1,998877,Northstar Retail,CTV,344589,21355,18544.60,6.20,53.82,0.87,377,2024-11-02,ttd
