campaignId,campaignName,adGroupId,adGroupName,targeting,campaignType,impressions,clicks,cost,clickThroughRate,costPerClick,purchases14d,sales14d,date,platform
amzn_cmp_00001,Black Friday Retargeting - Top Sellers SPONSORED_BRANDS,amzn_ag_00001,Auto 0,wireless earbuds,SPONSORED_BRANDS,831828,46207,35730.78,5.55,0.77,571,34500.65,2024-11-01,amazon
amzn_cmp_00001,New Arrivals Retargeting - Broad SPONSORED_PRODUCTS,amzn_ag_00002,Manual Exact 1,holiday gifts,SPONSORED_PRODUCTS,569182,17823,13313.94,3.13,0.75,200,21817.99,2024-11-02,amazon
amzn_cmp_00001,New Arrivals High Intent - Core Terms SPONSORED_PRODUCTS,amzn_ag_00003,Auto 2,competitor ASIN,SPONSORED_PRODUCTS,143915,3961,6888.26,2.75,1.74,55,7221.62,2024-11-03,amazon
amzn_cmp_00001,Holiday Lookalike - Promo Push SPONSORED_PRODUCTS,amzn_ag_00004,Manual Phrase 3,wireless earbuds,SPONSORED_PRODUCTS,191638,828,8042.47,0.43,9.71,44,3631.21,2024-11-04,amazon
amzn_cmp_00001,New Arrivals Lapsed Customers - Promo Push SPONSORED_DISPLAY,amzn_ag_00005,Manual Exact 4,running shoes,SPONSORED_DISPLAY,203632,11497,7183.80,5.65,0.62,401,59984.69,2024-11-05,amazon
amzn_cmp_00001,Evergreen Retargeting - Gift Guide SPONSORED_BRANDS,amzn_ag_00006,ASIN Targeting 5,running shoes,SPONSORED_BRANDS,284290,16868,4592.65,5.93,0.27,1271,152724.67,2024-11-06,amazon
amzn_cmp_00001,Black Friday High Intent - Gift Guide SPONSORED_BRANDS,amzn_ag_00007,Manual Exact 6,wireless earbuds,SPONSORED_BRANDS,938384,34197,23582.38,3.64,0.69,467,19785.46,2024-11-07,amazon
amzn_cmp_00001,Evergreen High Intent - Value Props SPONSORED_BRANDS,amzn_ag_00008,ASIN Targeting 7,running shoes,SPONSORED_BRANDS,143918,4317,1403.80,3.00,0.33,186,23943.91,2024-11-08,amazon
amzn_cmp_00001,Evergreen Retargeting - Core Terms SPONSORED_DISPLAY,amzn_ag_00009,ASIN Targeting 8,holiday gifts,SPONSORED_DISPLAY,71276,2461,2802.49,3.45,1.14,150,19526.78,2024-11-09,amazon
amzn_cmp_00001,Loyalty Retargeting - Value Props SPONSORED_BRANDS,amzn_ag_00010,Manual Exact 9,kitchen storage,SPONSORED_BRANDS,343935,21994,17611.75,6.39,0.80,449,61814.75,2024-11-10,amazon
